(time)	1 Max  (°C)	1 Mean  (°C)
16:48:19.614	1538.98	1507.23
16:48:19.634	1541.30	1508.81
16:48:19.654	1541.88	1509.53
16:48:19.674	1543.04	1508.62
16:48:19.694	1541.30	1508.48
16:48:19.714	1545.36	1511.12
16:48:19.735	1543.62	1511.97
16:48:19.754	1546.51	1512.58
16:48:19.774	1548.83	1516.56
16:48:19.794	1550.56	1515.93
16:48:19.814	1548.83	1518.53
16:48:19.834	1552.29	1518.61
16:48:19.854	1552.87	1519.58
16:48:19.875	1555.17	1520.27
16:48:19.894	1555.75	1520.60
16:48:19.915	1559.20	1521.07
16:48:19.934	1553.44	1522.03
16:48:19.954	1556.33	1521.75
16:48:19.974	1554.60	1523.05
16:48:19.994	1562.08	1525.13
