(time)	1 Max  (°C)
17:14:53.724	1848.44
17:14:53.745	1848.79
17:14:53.764	1850.87
17:14:53.784	1852.60
17:14:53.805	1852.95
17:14:53.824	1858.14
17:14:53.845	1852.26
17:14:53.864	1850.18
17:14:53.885	1855.03
17:14:53.904	1864.69
17:14:53.924	1865.04
17:14:53.944	1872.25
17:14:53.964	1875.34
17:14:53.985	1878.76
17:14:54.004	1875.68
17:14:54.025	1867.44
17:14:54.044	1872.25
17:14:54.065	1868.13
17:14:54.084	1862.28
17:14:54.104	1859.86
17:14:54.125	1856.76
17:14:54.144	1858.83
17:14:54.165	1859.86
17:14:54.184	1867.79
17:14:54.205	1861.59
17:14:54.224	1870.19
17:14:54.245	1868.13
17:14:54.264	1860.55
17:14:54.284	1867.44
17:14:54.305	1862.62
17:14:54.324	1869.16
17:14:54.345	1872.25
17:14:54.364	1869.16
17:14:54.385	1863.66
17:14:54.404	1861.59
17:14:54.424	1857.10
